名称,大类,中类,经度,纬度,省份,地级市,lon,lat,name,区县,type,operator,ports,place_type
合创-晨晨快充公共充电站,汽车相关,其他,109.015254,34.075874,陕西省,西安市,109.015254,34.075874,合创-晨晨快充公共充电站,西安市,汽车相关 其他,其他,4,其他
云快充晨晨汽车公共充电站,汽车相关,充电站,109.015257,34.075973,陕西省,西安市,109.015257,34.075973,云快充晨晨汽车公共充电站,西安市,汽车相关 充电站,云快充,2,其他
云快充公共充电站,汽车相关,充电站,109.016794,34.076253,陕西省,西安市,109.016794,34.076253,云快充公共充电站,西安市,汽车相关 充电站,云快充,4,其他
云快充汽车公共充电站,汽车相关,充电站,109.016101,34.075876,陕西省,西安市,109.016101,34.075876,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,4,其他
国家电网公共充电站,汽车相关,充电站,109.054653,34.13749,陕西省,西安市,109.054653,34.13749,国家电网公共充电站,西安市,汽车相关 充电站,国家电网,2,其他
特来电公共充电站,汽车相关,充电站,109.022712,34.159441,陕西省,西安市,109.022712,34.159441,特来电公共充电站,西安市,汽车相关 充电站,特来电,4,其他
国网深物流公共公共充电站,汽车相关,充电站,109.014861,34.154531,陕西省,西安市,109.014861,34.154531,国网深物流公共公共充电站,西安市,汽车相关 充电站,国家电网,6,其他
云快充汽车公共充电站,汽车相关,充电站,108.930644,34.096169,陕西省,西安市,108.930644,34.096169,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.817994,34.038596000000005,陕西省,西安市,108.817994,34.038596000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.735884,34.012337,陕西省,西安市,108.735884,34.012337,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
云快充汽车公共充电站,汽车相关,充电站,108.746653,34.014331,陕西省,西安市,108.746653,34.014331,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,2,其他
云杉智慧汽车公共充电站-秦岭野生动物园公共充电站,汽车相关,充电站,108.868395,34.047369,陕西省,西安市,108.868395,34.047369,云杉智慧汽车公共充电站-秦岭野生动物园公共充电站,西安市,汽车相关 充电站,其他,5,其他
万马爱充公共充电站,汽车相关,充电站,108.866657,34.047379,陕西省,西安市,108.866657,34.047379,万马爱充公共充电站,西安市,汽车相关 充电站,其他,8,其他
老虎快充,汽车相关,其他,108.830855,34.160587,陕西省,西安市,108.830855,34.160587,老虎快充,西安市,汽车相关 其他,其他,2,其他
云快充公共充电站,汽车相关,充电站,108.830837,34.160664000000004,陕西省,西安市,108.830837,34.160664000000004,云快充公共充电站,西安市,汽车相关 充电站,云快充,5,其他
特来电公共充电站,汽车相关,充电站,108.841002,34.160082,陕西省,西安市,108.841002,34.160082,特来电公共充电站,西安市,汽车相关 充电站,特来电,3,其他
